store_id,uptime_last_hour(in minutes),uptime_last_day(in hours),update_last_week(in hours),downtime_last_hour(in minutes),downtime_last_day(in hours),downtime_last_week(in hours)
9191924088090002123,9,5,34,51,6,44
7872450129102144204,47,0,0,13,12,72
2325429371653718737,11,6,30,49,6,45
6003577592509498065,7,10,43,53,6,53
2801161018595246803,6,0,0,54,0,0
315743336432337622,8,19,82,52,4,56
5842001030832718549,12,19,82,48,4,56
7863591736472240852,8,19,79,52,4,59
7022452128920961749,3,0,0,57,23,138
6447334345695462104,6,3,15,54,0,3
7384579014141510360,47,0,0,13,23,138
8190313151562460,55,0,0,5,23,138
6776660075252450013,9,4,22,51,0,4
2536136790371762910,1,8,49,59,6,44
2594115075249930979,28,0,3,32,7,63
3712730232711578342,1,5,46,59,3,32
2222326639959999208,9,5,35,51,6,45
7279335395577594598,10,20,82,50,3,56
4921552949314388712,50,4,11,10,6,56
2659535035040072426,6,6,29,54,7,49
4844678430198268654,51,0,0,9,23,138
1427332776357855986,8,8,18,52,6,38
6923836608548045554,48,0,2,12,6,40
8218228352749699827,12,20,81,48,3,57
6672691392384860916,5,11,45,55,6,57
7705373018137625332,0,0,0,60,5,30
1217505942626861817,9,5,5,51,18,133
4071109024083968761,47,0,0,13,23,138
5770226286133838585,5,3,15,55,1,38
9096751932396962554,48,0,0,12,23,138
1495179965606986494,2,0,0,58,23,138
9149712285921772285,7,15,68,53,0,22
5952909218916532992,59,10,44,1,6,52
592564541849666308,10,5,37,50,6,39
3805850625064764163,12,6,37,48,6,46
6627403247980937988,52,0,2,8,9,52
5245124405201535747,51,0,0,9,6,87
4758122953777087240,21,0,1,39,13,50
3143660658783978251,11,11,49,49,6,53
7105727956101333772,5,0,33,55,4,29
4843159371714888461,47,0,0,13,23,138
3578719441486807824,12,5,23,48,6,43
7033610846661247760,41,4,22,19,0,4
115475171852550934,59,19,83,1,4,55
7633697021858808601,8,2,10,52,0,1
6588419047189873436,11,1,4,49,0,2
9194440305516118811,56,0,0,4,13,78
5984095994339754784,12,9,13,48,6,77
1077279434450600740,2,0,0,58,12,72
8055889684389987107,11,5,28,49,6,40
4743255264227164964,58,0,0,2,13,78
8177295030995911464,9,5,25,51,6,31
7110737882995852087,10,0,0,50,0,0
2309247799224107836,12,19,82,48,4,56
1471734840230642496,5,12,51,55,7,61
7033235722511713089,50,0,0,10,23,138
5339221772537987908,4,0,11,56,0,6
2749541942859236169,1,15,68,59,0,22
2281235811578479437,58,19,42,2,4,42
8139746930900009809,8,5,28,52,6,39
4567318054382371668,2,6,29,58,6,43
8841107590159958865,7,5,23,53,6,43
6673695798761653077,9,7,30,51,1,18
3397766692771103574,55,0,0,5,23,138
4540003678508712793,59,0,0,1,23,138
2540019068037759837,53,0,0,7,13,78
1152753082208387935,9,19,82,51,4,56
8461613091533095774,11,8,35,49,6,49
2249493758548607842,1,8,33,59,5,47
3712612032530285408,1,19,83,59,4,55
3280733156354851683,57,19,81,3,4,57
5980850037745517411,59,2,10,1,0,2
6326969040294904674,10,2,10,50,0,2
1950213906354406253,9,15,59,51,0,21
189887911053525869,55,0,0,5,3,18
2719959465741714286,8,18,36,52,5,102
6981065511606584176,8,6,29,52,6,43
3569389329630528373,8,20,83,52,3,55
5332157939881542521,57,19,82,3,4,56
2053206129811489660,12,4,14,48,6,30
6916462688035275643,10,20,83,50,3,55
372006500694852480,58,0,0,2,12,70
4710951354228966271,57,1,2,3,0,4
4296659509424391041,10,20,83,50,3,55
862682288742826882,50,0,0,10,7,44
6797546070046901122,8,19,83,52,4,55
8330214993571251073,0,0,0,60,10,60
797926646334718859,47,0,0,13,23,138
4708329725210919824,7,0,0,53,0,0
494668949189624724,6,9,27,54,5,31
645700412112339860,48,0,3,12,13,77
3440150023152763801,10,10,45,50,5,37
8445137346113012632,56,0,0,4,6,36
2491761154881684379,51,0,0,9,11,78
5779040784826729371,10,17,80,50,6,58
8956479198572544923,10,0,0,50,0,0
6071184813008487323,50,0,0,10,10,56
6937287792105882525,8,6,29,52,6,43
339216504037933986,53,0,0,7,13,78
625693576506770342,1,6,34,59,5,32
6803596568316347300,9,20,71,51,3,67
757183780274766763,8,19,82,52,4,56
8224150953804333994,29,15,63,31,0,19
3588337980198945708,48,0,2,12,10,66
7411215301369856939,12,19,83,48,4,55
5893287168855180205,6,13,53,54,5,55
3549623081223652275,9,19,83,51,4,55
6743317667349595060,43,5,27,17,6,39
7730229831636583350,59,2,10,1,0,2
2583143055026783161,6,0,0,54,0,0
5400449062227182519,53,0,0,7,0,0
5630432795445298111,3,2,10,57,1,35
4697487207321895871,7,11,44,53,6,54
6563641695966888897,1,7,40,59,6,41
6236032181607039940,4,19,81,56,4,57
645323677651534791,57,23,96,3,0,42
3134875978583147463,48,0,3,12,6,56
2803214099910329288,13,19,84,47,4,54
8145583416938431430,53,0,1,7,13,67
9006666413702513612,9,0,0,51,0,0
4246903651569894352,8,0,0,52,0,0
5890936121459147728,1,1,7,59,0,29
6246781613084214225,6,7,32,54,6,46
732059470813496273,47,0,0,13,23,138
9037966544828433362,9,20,83,51,3,55
1545115525542478807,47,0,3,13,12,69
2325008114048009175,58,0,0,2,12,72
7609510742636561367,11,0,20,49,3,18
7054107577350095832,12,19,83,48,4,55
4919497091715564509,11,0,0,49,0,0
2886778225104684003,11,7,35,49,5,29
3121802272790676455,9,1,4,51,0,2
3113606778478625773,47,0,0,13,16,96
430327590402163697,58,0,0,2,16,96
2046022316016370677,13,8,35,47,6,49
9000339734938911730,58,4,18,2,0,17
1838886190087406582,1,0,0,59,0,0
2120739820108973048,12,23,106,48,0,32
8946661276056552441,9,4,20,51,0,6
4599395172955194364,0,0,0,60,23,138
6758064066003305472,6,6,42,54,6,45
4515226087958414340,9,20,83,51,3,55
2786793496389485572,27,7,21,33,6,24
1214336484911481863,9,1,3,51,0,3
6132562899215090695,12,19,83,48,4,55
6028590997260043277,54,0,0,6,11,59
6922771937033847823,10,19,83,50,4,55
3383335018767451156,6,0,0,54,0,0
5062053676529222677,39,6,36,21,6,47
2997579043198108695,11,12,50,49,6,58
614786279203177500,42,5,23,18,6,43
455406294575940647,3,7,34,57,4,32
7728530608702456871,56,0,0,4,23,138
